Category,Subcategory,Subcategory2,Command,Notes
Generic Commands,,,SCRAP 100,Adds Scrap
Generic Commands,,,FUEL 10,Adds Fuel
Generic Commands,,,HULL 10,Repairs Hull
Generic Commands,,,MISSILES 10,Adds Missiles
Generic Commands,,,DRONES 10,Adds Drone Parts
Generic Commands,,,RICH,"Gives the player near infinite resources in Scrap, Missiles, Fuel, and Drone Parts"
Generic Commands,,,POOR,Revokes the resources of the player
Generic Commands,,,GOD,Upgrades every system and reactor to max
Generic Commands,,,DELETE,Destroys enemy ship
Generic Commands,,,DELETECREW,Kills all crew on the enemy ship
Generic Commands,,,KILL x,"Kills a boarder on your ship (capitalization matters, e.g. KILL Gumpo)"
Generic Commands,,,SPEED 0,Changes the speed of the game and can be toggled with a hotkey (default is ~). The default speed is 0.
Generic Commands,,,SKILL,Grants maximum XP in all skills to all player crew
Generic Commands,,,FLEET -1,Adds fleet doubling/delay (negative numbers create delay)
Cruisers,,,SHIP ALL,Unlocking all cruisers at once
Cruisers,Page 1,,SHIP_CUSTOM PLAYER_SHIP_MVKESTREL,MV Kestrel Cruiser
Cruisers,Page 1,,SHIP_CUSTOM PLAYER_SHIP_MVFED,MV Federation Cruiser
Cruisers,Page 1,,SHIP_CUSTOM PLAYER_SHIP_MVSTEALTH,MV Stealth Cruiser
Cruisers,Page 1,,SHIP_CUSTOM PLAYER_SHIP_MVENGI,MV Harmony Cruiser
Cruisers,Page 1,,SHIP_CUSTOM PLAYER_SHIP_MVCIVILIAN,MV Union Cruiser
Cruisers,Page 1,,SHIP_CUSTOM PLAYER_SHIP_MVCRYSTAL,MV Imperial Cruiser
Cruisers,Page 1,,SHIP_CUSTOM PLAYER_SHIP_MVDYNASTY,MV Spectral Cruiser
Cruisers,Page 1,,SHIP_CUSTOM PLAYER_SHIP_MVLANIUS,MV Augmented Cruiser
Cruisers,Page 1,,SHIP_CUSTOM PLAYER_SHIP_PROTOMV,Proto-MV Cruisers
Cruisers,Page 1,,SHIP_CUSTOM PLAYER_SHIP_FLAGSHIP,Multiverse Flagship (player)
Cruisers,Page 2,,SHIP_CUSTOM PLAYER_SHIP_UNION,Union Cruisers
Cruisers,Page 2,,SHIP_CUSTOM PLAYER_SHIP_MILITIA,Militia Cruisers
Cruisers,Page 2,,SHIP_CUSTOM PLAYER_SHIP_KESTREL,Kestrel Cruisers
Cruisers,Page 2,,SHIP_CUSTOM PLAYER_SHIP_FEDERATION,Federation Cruisers
Cruisers,Page 2,,SHIP_CUSTOM PLAYER_SHIP_CLOAK,Stealth Cruisers
Cruisers,Page 2,,SHIP_CUSTOM PLAYER_SHIP_AUTO_FED,Federation Auto-Cruisers
Cruisers,Page 2,,SHIP_CUSTOM PLAYER_SHIP_HORSE,Equinoid Cruisers
Cruisers,Page 2,,SHIP_CUSTOM ELITE_SHIP_MILITIA,EDC Cruiser
Cruisers,Page 2,,SHIP_CUSTOM ELITE_SHIP_FED,Unity Cruiser
Cruisers,Page 3,,SHIP_CUSTOM PLAYER_SHIP_REBEL,Rebel Cruisers
Cruisers,Page 3,,SHIP_CUSTOM PLAYER_SHIP_ENGINEER,Engineer Cruisers
Cruisers,Page 3,,SHIP_CUSTOM PLAYER_SHIP_AUTO,Auto-Cruisers
Cruisers,Page 3,,SHIP_CUSTOM PLAYER_SHIP_MVREBEL,MV Rebel Cruisers
Cruisers,Page 3,,SHIP_CUSTOM PLAYER_SHIP_MFK,MFK Ace Cruisers
Cruisers,Page 3,,SHIP_CUSTOM PLAYER_SHIP_CURA,Innovation Cruisers
Cruisers,Page 3,,SHIP_CUSTOM PLAYER_SHIP_TECHNICIAN,Technician Cruisers
Cruisers,Page 3,,SHIP_CUSTOM ELITE_SHIP_REBEL,Elite Rebel Cruiser
Cruisers,Page 3,,SHIP_CUSTOM ELITE_SHIP_REBEL_2,Alt-MFK Cruiser
Cruisers,Page 4,,SHIP_CUSTOM PLAYER_SHIP_PROTOTYPE,Prototype Cruisers
Cruisers,Page 4,,SHIP_CUSTOM PLAYER_SHIP_TUCO,Tuco's Cruisers
Cruisers,Page 4,,SHIP_CUSTOM PLAYER_SHIP_ANGEL,Angel Cruisers
Cruisers,Page 4,,SHIP_CUSTOM PLAYER_SHIP_BROOD,Brood Cruisers
Cruisers,Page 4,,SHIP_CUSTOM PLAYER_SHIP_SPIDER,Spider Hunter Cruisers
Cruisers,Page 5,,SHIP_CUSTOM PLAYER_SHIP_ENGI,Engi Cruisers
Cruisers,Page 5,,SHIP_CUSTOM PLAYER_SHIP_SEPARATIST,Separatist Cruisers
Cruisers,Page 5,,SHIP_CUSTOM ELITE_SHIP_ENGI,Harmony Cruiser
Cruisers,Page 6,,SHIP_CUSTOM PLAYER_SHIP_ZOLTAN,Ministry Cruisers
Cruisers,Page 6,,SHIP_CUSTOM PLAYER_SHIP_DUSKBRINGER,Duskbringer Cruisers
Cruisers,Page 6,,SHIP_CUSTOM PLAYER_SHIP_MONK,Illesctrian Cruisers
Cruisers,Page 6,,SHIP_CUSTOM PLAYER_SHIP_PEACEKEEPER,Peacekeeping Cruisers
Cruisers,Page 6,,SHIP_CUSTOM PLAYER_SHIP_OSMIA,Osmian Cruisers
Cruisers,Page 6,,SHIP_CUSTOM ELITE_SHIP_ZOLTAN,Alt-Peacekeeping Cruiser
Cruisers,Page 6,,SHIP_CUSTOM ELITE_SHIP_DUSK,New Order Cruiser
Cruisers,Page 7,,SHIP_CUSTOM PLAYER_SHIP_HIVE,Hive Cruisers
Cruisers,Page 7,,SHIP_CUSTOM PLAYER_SHIP_FREEMANTIS,Free Mantis Cruisers
Cruisers,Page 7,,SHIP_CUSTOM PLAYER_SHIP_SUZERAIN,Suzerain Cruisers
Cruisers,Page 7,,SHIP_CUSTOM PLAYER_SHIP_BISHOP,Bishop Cruisers
Cruisers,Page 7,,SHIP_CUSTOM ELITE_SHIP_MANTIS,Alt-Suzerain Cruiser
Cruisers,Page 7,,SHIP_CUSTOM ELITE_SHIP_FREEMANTIS,Warlord Cruiser
Cruisers,Page 8,,SHIP_CUSTOM PLAYER_SHIP_ROCKMAN,Theocracy Cruisers
Cruisers,Page 8,,SHIP_CUSTOM PLAYER_SHIP_OUTCAST,Outcast Cruisers
Cruisers,Page 8,,SHIP_CUSTOM PLAYER_SHIP_LOSTSUN,Lost Sun Cruisers
Cruisers,Page 8,,SHIP_CUSTOM PLAYER_SHIP_PALADIN,Paladin Cruisers (currently unobtainable without commands)
Cruisers,Page 8,,SHIP_CUSTOM PLAYER_SHIP_SALT,Sodium Cruisers
Cruisers,Page 8,,SHIP_CUSTOM PLAYER_SHIP_SSLG,SSLG Cruisers
Cruisers,Page 8,,SHIP_CUSTOM PLAYER_SHIP_CRYSTALLINE,Imperial Cruisers
Cruisers,Page 8,,SHIP_CUSTOM PLAYER_SHIP_CULTIST,Ember Cruisers
Cruisers,Page 8,,SHIP_CUSTOM ELITE_SHIP_ROCK,Inquisition Cruiser
Cruisers,Page 8,,SHIP_CUSTOM ELITE_SHIP_ROCK_2,Alt-Paladin Cruiser
Cruisers,Page 8,,SHIP_CUSTOM ELITE_SHIP_CRYSTAL,Sentinel Cruiser
Cruisers,Page 9,,SHIP_CUSTOM PLAYER_SHIP_SLUG,Kleptocracy Cruisers
Cruisers,Page 9,,SHIP_CUSTOM PLAYER_SHIP_CLAN,Guild Cruisers
Cruisers,Page 9,,SHIP_CUSTOM PLAYER_SHIP_HEKTAR,Hektar Cruisers
Cruisers,Page 9,,SHIP_CUSTOM PLAYER_SHIP_PLEASURE,Pleasure Cruisers
Cruisers,Page 9,,SHIP_CUSTOM PLAYER_SHIP_HACKER,Hacker Cruisers
Cruisers,Page 9,,SHIP_CUSTOM PLAYER_SHIP_KNIGHT,Knighted Cruisers
Cruisers,Page 9,,SHIP_CUSTOM PLAYER_SHIP_SYLVAN,Sylvan Cruisers
Cruisers,Page 9,,SHIP_CUSTOM PLAYER_SHIP_CEL,C.E.L. Cruisers
Cruisers,Page 9,,SHIP_CUSTOM ELITE_SHIP_SLUG,Clairvoyant Cruisers
Cruisers,Page 9,,SHIP_CUSTOM ELITE_SHIP_SLUG_2,Alt-Knight Cruiser
Cruisers,Page 10,,SHIP_CUSTOM PLAYER_SHIP_ORCHID,Gathering Cruisers
Cruisers,Page 10,,SHIP_CUSTOM PLAYER_SHIP_VAMPWEED,Confederate Cruisers
Cruisers,Page 10,,SHIP_CUSTOM PLAYER_SHIP_CARETAKER,Caretaker Cruisers
Cruisers,Page 10,,SHIP_CUSTOM PLAYER_SHIP_CULTIVATOR,Cultivator Cruisers
Cruisers,Page 10,,SHIP_CUSTOM PLAYER_SHIP_AMBASSADOR,Kadahellian Cruisers
Cruisers,Page 10,,SHIP_CUSTOM ELITE_SHIP_ORCHID,Praetorian Cruiser
Cruisers,Page 10,,SHIP_CUSTOM ELITE_SHIP_VAMPWEED,Alt-Cultivator Cruiser
Cruisers,Page 11,,SHIP_CUSTOM PLAYER_SHIP_SHELL,Geniocracy Cruisers
Cruisers,Page 11,,SHIP_CUSTOM PLAYER_SHIP_SCIENTIST,Geniocracy Science Cruisers
Cruisers,Page 11,,SHIP_CUSTOM PLAYER_SHIP_MECHANIC,Geniocracy Management Cruisers
Cruisers,Page 11,,SHIP_CUSTOM PLAYER_SHIP_MORPH,Morph Cruisers
Cruisers,Page 11,,SHIP_CUSTOM ELITE_SHIP_SHELL,Radiant Cruiser
Cruisers,Page 12,,SHIP_CUSTOM PLAYER_SHIP_LEECH,Republican Cruisers
Cruisers,Page 12,,SHIP_CUSTOM PLAYER_SHIP_ALKRAM,Revolutionary Cruisers
Cruisers,Page 12,,SHIP_CUSTOM PLAYER_SHIP_TONY,Retail Cruisers
Cruisers,Page 12,,SHIP_CUSTOM PLAYER_SHIP_COALITION,Coalition Cruisers
Cruisers,Page 12,,SHIP_CUSTOM ELITE_SHIP_LEECH,Ampere Cruiser
Cruisers,Page 12,,SHIP_CUSTOM ELITE_SHIP_COALITION,R.U.E.S. Cruiser
Cruisers,Page 13,,SHIP_CUSTOM PLAYER_SHIP_LANIUS,Lanius Cruisers
Cruisers,Page 13,,SHIP_CUSTOM PLAYER_SHIP_AUGMENTED,Augmented Cruisers
Cruisers,Page 13,,SHIP_CUSTOM PLAYER_SHIP_DYNASTY,Spectral Cruisers
Cruisers,Page 13,,SHIP_CUSTOM PLAYER_SHIP_GHOST,Spook Chaser Cruisers
Cruisers,Page 13,,SHIP_CUSTOM PLAYER_SHIP_GUARD,Guardian Cruisers (currently unobtainable without commands)
Cruisers,Page 13,,SHIP_CUSTOM PLAYER_SHIP_ANCIENT,Obelisk Cruisers
Cruisers,Page 13,,SHIP_CUSTOM PLAYER_SHIP_RHYME,Rhyme Cruisers
Cruisers,Page 13,,SHIP_CUSTOM ELITE_SHIP_LANIUS,Swarm Cruiser
Cruisers,Page 13,,SHIP_CUSTOM ELITE_SHIP_GHOST,Cruising Reaper
Cruisers,Page 13,,SHIP_CUSTOM ELITE_SHIP_GHOST_2,Vagabond Cruiser
Cruisers,Page 14,,SHIP_CUSTOM CREW_SHIP_SLOT1,#NAME?
Cruisers,Page 14,,SHIP_CUSTOM CREW_SHIP_SLOT2,#NAME?
Cruisers,Page 14,,SHIP_CUSTOM CREW_SHIP_SLOT3,#NAME?
Cruisers,Page 14,,SHIP_CUSTOM CREW_SHIP_SLOT4,#NAME?
Cruisers,Page 14,,SHIP_CUSTOM CREW_SHIP_SLOT5,#NAME?
Cruisers,Page 14,,SHIP_CUSTOM CREW_SHIP_SLOT6,#NAME?
Cruisers,Page 14,,SHIP_CUSTOM CREW_SHIP_SLOT7,#NAME?
Cruisers,Page 14,,SHIP_CUSTOM CREW_SHIP_SLOT8,#NAME?
